"UserPrincipalName";"Operation";"License";"Status";"Timestamp"
"admin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:07"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:07"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:07"
"andi.valentino@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:08"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:08"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:08"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:08"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:09"
"dani.umara@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:09"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:09"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:09"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:09"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:10"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:10"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:10"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:10"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:11"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:11"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:11"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 13:40:11"
