"DisplayName";"SamAccountName";"PrimarySmtpAddress"
"MOD Administrator";"$OQEL32-PJ3DFK47UOQV";"admin@M365x57702712.onmicrosoft.com"
"Alif M. Mardiono";"$LC1052-OG6TULHJCQIC";"alif.mardiono@M365x57702712.onmicrosoft.com"
"Alif R. Ramlan";"$QC1052-CHQPV346R3HO";"alif.ramlan@M365x57702712.onmicrosoft.com"
"Andi V. Valentino";"$UC1052-UPORKOBVS89I";"andi.valentino@M365x57702712.onmicrosoft.com"
"Bagas W. Wibisono";"$IC1052-8AQ8DGV02DBR";"bagas.wibisono@M365x57702712.onmicrosoft.com"
"Bima I. Iskandar";"$4C1052-DMAK26FRG7FN";"bima.iskandar@M365x57702712.onmicrosoft.com"
"Bima J. Jamaludin";"$EC1052-OA4HGITL708J";"bima.jamaludin@M365x57702712.onmicrosoft.com"
"Bulan B. Bahari";"$0D1052-IQ6TLQBQOIUL";"bulan.bahari@M365x57702712.onmicrosoft.com"
"Dani U. Umara";"$NC1052-TM0U4L16J9GP";"dani.umara@M365x57702712.onmicrosoft.com"
"Elang B. Bachtiar";"$JC1052-JO9A58TQN0FS";"elang.bachtiar@M365x57702712.onmicrosoft.com"
"Fauzi N. Nasution";"$GC1052-4QGDMI5U0ONQ";"fauzi.nasution@M365x57702712.onmicrosoft.com"
"Fikri R. Ramdhan";"$PC1052-A45SRMUQNMNG";"fikri.ramdhan@M365x57702712.onmicrosoft.com"
"Gery K. Kautsar";"$MC1052-73P2TUESMV52";"gery.kautsar@M365x57702712.onmicrosoft.com"
"Gilang E. Effendi";"$HC1052-MTO1NQOBH9TM";"gilang.effendi@M365x57702712.onmicrosoft.com"
"Hana K. Kautsar";"$7C1052-N4CK5GFG42BA";"hana.kautsar@M365x57702712.onmicrosoft.com"
"Ilham W. Widianto";"$5C1052-H2M37LH49SP5";"ilham.widianto@M365x57702712.onmicrosoft.com"
"Isaiah Langer";"$4REL32-DDVES0VKGPAO";"IsaiahL@M365x57702712.OnMicrosoft.com"
"Iwan W. Wiratama";"$8C1052-HQDLNF3ROBCV";"iwan.wiratama@M365x57702712.onmicrosoft.com"
"Jihan I. Ismail";"$KC1052-TDINNLD8463R";"jihan.ismail@M365x57702712.onmicrosoft.com"
"Jihan V. Valianto";"$6C1052-V424LUQ3DSE5";"jihan.valianto@M365x57702712.onmicrosoft.com"
