"UserPrincipalName";"DisplayName";"LastLogonTime";"Status"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"2026-01-08 22:50:23";"SUCCESS"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"2026-01-01 18:02:49";"SUCCESS"
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"2025-12-31 16:47:02";"SUCCESS"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"2025-12-20 21:35:05";"SUCCESS"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"2025-12-20 21:01:31";"SUCCESS"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"2026-01-07 09:28:43";"SUCCESS"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"2025-12-20 22:21:55";"SUCCESS"
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"2025-12-19 17:12:00";"SUCCESS"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@M365x57702712.onmicrosoft.com";"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}";"N/A (Never Logged On)";"SUCCESS"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"2025-12-31 16:31:00";"SUCCESS"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"N/A (Never Logged On)";"SUCCESS"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"2025-12-20 20:58:03";"SUCCESS"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"2025-12-20 22:01:01";"SUCCESS"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"2025-12-20 21:26:09";"SUCCESS"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"2025-12-20 21:32:39";"SUCCESS"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"2025-12-31 17:29:03";"SUCCESS"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"2025-12-25 21:07:00";"SUCCESS"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"N/A (Never Logged On)";"SUCCESS"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"2025-12-31 17:37:22";"SUCCESS"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"2025-12-23 20:27:21";"SUCCESS"
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"2026-01-09 13:08:23";"SUCCESS"
