"UserPrincipalName";"DisplayName";"TotalSizeGB";"ItemCount";"Status"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"0";"27";"SUCCESS"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"0";"7";"SUCCESS"
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"0";"7";"SUCCESS"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"0";"7";"SUCCESS"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"0";"7";"SUCCESS"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"0";"7";"SUCCESS"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"0";"7";"SUCCESS"
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"0";"7";"SUCCESS"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@M365x57702712.onmicrosoft.com";"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}";"0";"2";"SUCCESS"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"0";"7";"SUCCESS"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"0";"7";"SUCCESS"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"0";"7";"SUCCESS"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"0";"7";"SUCCESS"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"0";"7";"SUCCESS"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"0";"7";"SUCCESS"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"0";"2";"SUCCESS"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"0.01";"177";"SUCCESS"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"0";"2";"SUCCESS"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"0";"2";"SUCCESS"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"0";"2";"SUCCESS"
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"0.02";"517";"SUCCESS"
