"ReportDate";"Owner";"UserPrincipalName";"IsDeleted";"LastActivityDate";"FileCount";"QuotaGB";"UsedGB";"City";"Department";"JobTitle"
"2026-01-07";"Joni Sherman";"JoniS@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"14";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Johanna Lorenz";"JohannaL@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"48";"100";"0.03";"N/A";"N/A";"N/A"
"2026-01-07";"Lee Gu";"LeeG@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Erik Dito";"erik.dito@M365x57702712.onmicrosoft.com";"False";"2025-12-08";"2";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Debra Berger";"DebraB@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"17";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Lynne Robbins";"LynneR@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Megan Bowen";"MeganB@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"65";"100";"0.12";"N/A";"N/A";"N/A"
"2026-01-07";"Christie Cline";"ChristieC@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"13";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Grady Archie";"GradyA@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"14";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Allan Deyoung";"AllanD@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"14";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"erik dito";"erik.tampubolon@ditoo.click";"False";"";"0";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Lidia Holloway";"LidiaH@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"17";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Isaiah Langer";"IsaiahL@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"25";"100";"0.02";"N/A";"N/A";"N/A"
"2026-01-07";"Nestor Wilke";"NestorW@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"Pradeep Gupta";"PradeepG@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Patti Fernandez";"PattiF@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"14";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Miriam Graham";"MiriamG@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"10";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Irvin Sayers";"IrvinS@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0.01";"N/A";"N/A";"N/A"
"2026-01-07";"MOD Administrator";"admin@M365x57702712.onmicrosoft.com";"False";"2025-12-08";"17";"100";"0.02";"N/A";"N/A";"N/A"
"2026-01-07";"Diego Siciliani";"DiegoS@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"15";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Adele Vance";"AdeleV@M365x57702712.OnMicrosoft.com";"False";"2025-12-04";"14";"100";"0";"N/A";"N/A";"N/A"
"2026-01-07";"Alex Wilber";"AlexWtesting@M365x57702712.OnMicrosoft.com";"False";"2025-12-15";"16";"100";"0.01";"N/A";"N/A";"N/A"
