"UserPrincipalName";"DisplayName";"LastPasswordChangeWIB";"Status"
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"2026-01-08 10:49:11";"SUCCESS"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"2026-01-08 09:41:25";"SUCCESS"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"2026-01-08 09:41:26";"SUCCESS"
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"2026-01-08 09:41:27";"SUCCESS"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"2026-01-08 09:41:27";"SUCCESS"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"2026-01-08 09:41:28";"SUCCESS"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"2026-01-08 09:41:29";"SUCCESS"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"2026-01-08 09:41:29";"SUCCESS"
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"2026-01-08 09:41:29";"SUCCESS"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"2026-01-08 09:41:30";"SUCCESS"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"2026-01-08 09:41:30";"SUCCESS"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"2026-01-08 09:41:31";"SUCCESS"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"2026-01-08 09:41:32";"SUCCESS"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"2026-01-08 09:41:33";"SUCCESS"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"2026-01-08 09:41:34";"SUCCESS"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"2026-01-08 09:41:34";"SUCCESS"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"2026-01-08 09:41:34";"SUCCESS"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"2026-01-08 09:41:35";"SUCCESS"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"2026-01-08 09:41:36";"SUCCESS"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"2026-01-08 09:41:36";"SUCCESS"
